84.909	1.6954e-10	2.4846e-08	1.6955e-10	4.4223e-09	1.6955e-10	3.468e-08	1.6964e-10	3.468e-08
89.909	1.6943e-10	2.4846e-08	1.6944e-10	4.4194e-09	1.6944e-10	3.4654e-08	1.6952e-10	3.4654e-08
94.909	1.6934e-10	2.4846e-08	1.6934e-10	4.417e-09	1.6935e-10	3.4632e-08	1.6941e-10	3.4632e-08
99.909	1.6926e-10	2.4846e-08	1.6927e-10	4.415e-09	1.6927e-10	3.4614e-08	1.6932e-10	3.4614e-08
104.91	1.692e-10	2.4846e-08	1.692e-10	4.4133e-09	1.6921e-10	3.4599e-08	1.6925e-10	3.4599e-08
109.91	1.6915e-10	2.4846e-08	1.6915e-10	4.4119e-09	1.6915e-10	3.4586e-08	1.6919e-10	3.4586e-08
114.91	1.691e-10	2.4846e-08	1.691e-10	4.4107e-09	1.6911e-10	3.4575e-08	1.6914e-10	3.4575e-08
119.91	1.6907e-10	2.4846e-08	1.6907e-10	4.4098e-09	1.6907e-10	3.4567e-08	1.6909e-10	3.4567e-08
123	1.6905e-10	2.4846e-08	1.6905e-10	4.4092e-09	1.6905e-10	3.4562e-08	1.6907e-10	3.4562e-08
123	1.6905e-10	7.4846e-08	1.6905e-10	4.4092e-09	1.6905e-10	3.4562e-08	1.6907e-10	3.4562e-08
123.17	1.7118e-10	7.4844e-08	1.7053e-10	4.4389e-09	1.7044e-10	3.4573e-08	1.6925e-10	3.4573e-08
123.34	1.7328e-10	7.4842e-08	1.7238e-10	4.484e-09	1.722e-10	3.4599e-08	1.6953e-10	3.4599e-08
123.51	1.7536e-10	7.484e-08	1.7437e-10	4.5348e-09	1.7408e-10	3.4642e-08	1.699e-10	3.4642e-08
124.13	1.8283e-10	7.4832e-08	1.8174e-10	4.7268e-09	1.8112e-10	3.4973e-08	1.7203e-10	3.4974e-08
124.75	1.9011e-10	7.4825e-08	1.8898e-10	4.9159e-09	1.8809e-10	3.5471e-08	1.7489e-10	3.5471e-08
125.37	1.9722e-10	7.4818e-08	1.9605e-10	5.1007e-09	1.9493e-10	3.6108e-08	1.7836e-10	3.6109e-08
126.64	2.1125e-10	7.4803e-08	2.1003e-10	5.4659e-09	2.0856e-10	3.7696e-08	1.8667e-10	3.7698e-08
127.9	2.2465e-10	7.4789e-08	2.234e-10	5.8152e-09	2.217e-10	3.9613e-08	1.964e-10	3.9614e-08
129.17	2.3742e-10	7.4776e-08	2.3618e-10	6.1489e-09	2.3434e-10	4.1746e-08	2.0705e-10	4.1748e-08
130.44	2.496e-10	7.4763e-08	2.4837e-10	6.4675e-09	2.4648e-10	4.4005e-08	2.182e-10	4.4006e-08
132.96	2.7225e-10	7.474e-08	2.7108e-10	7.0609e-09	2.6919e-10	4.8651e-08	2.4092e-10	4.8652e-08
135.49	2.9287e-10	7.4719e-08	2.9179e-10	7.6018e-09	2.8998e-10	5.3186e-08	2.6298e-10	5.3188e-08
138.01	3.1166e-10	7.4699e-08	3.1066e-10	8.0949e-09	3.0897e-10	5.7454e-08	2.8368e-10	5.7455e-08
140.54	3.288e-10	7.4681e-08	3.2788e-10	8.5447e-09	3.2631e-10	6.1415e-08	3.0287e-10	6.1416e-08
143.06	3.4442e-10	7.4665e-08	3.4358e-10	8.9549e-09	3.4214e-10	6.5071e-08	3.2056e-10	6.5072e-08
148.06	3.7153e-10	7.4637e-08	3.7083e-10	9.6668e-09	3.6962e-10	7.1467e-08	3.5149e-10	7.1468e-08
153.06	3.9413e-10	7.4613e-08	3.9354e-10	1.026e-08	3.9253e-10	7.6831e-08	3.7742e-10	7.6832e-08
158.06	4.1293e-10	7.4594e-08	4.1244e-10	1.0754e-08	4.116e-10	8.1303e-08	3.9903e-10	8.1303e-08
